iter	RMSE
0	1.390356256
1	1.3754055
2	1.361307154
3	1.348188611
4	1.335283436
5	1.322752979
6	1.310775623
7	1.298435442
8	1.286820628
9	1.27565886
10	1.264214979
11	1.25440711
12	1.243004262
13	1.232403612
14	1.22192038
15	1.212111474
16	1.200205206
17	1.189914954
18	1.1805011
19	1.170578016
20	1.161289906
21	1.152413945
22	1.143117188
23	1.137668383
24	1.129954926
25	1.122226148
26	1.114623038
27	1.107405099
28	1.098399299
29	1.091955271
30	1.084085888
31	1.076416003
32	1.069887249
33	1.062531159
34	1.054813473
35	1.049910069
36	1.044152608
37	1.03515998
38	1.028913092
39	1.023404609
40	1.017710509
41	1.012225874
42	1.006146675
43	0.9987978947
44	0.9930062529
45	0.9880727298
46	0.9821730956
47	0.975848721
48	0.9715366122
49	0.9656614851
50	0.9613280748
51	0.9581540012
52	0.9540981642
53	0.9504748533
54	0.9449687101
55	0.9417844779
56	0.9372539105
57	0.933458163
58	0.9283586464
59	0.924052934
60	0.9211376902
61	0.9177835158
62	0.9137677493
63	0.9107573105
64	0.9065517513
65	0.903225625
66	0.8996317929
67	0.8966314176
68	0.8942240648
69	0.8908904211
70	0.8874081192
71	0.88379405
72	0.8801954828
73	0.8774380165
74	0.875726244
75	0.8719089371
76	0.8677600944
77	0.8639888069
78	0.8625010248
79	0.8596800734
80	0.8562244248
81	0.8544354011
82	0.8518946478
83	0.8501574362
84	0.8462057619
85	0.8428870487
86	0.8417952041
87	0.8400896044
88	0.8383085686
89	0.8349031432
90	0.8327417151
91	0.8319854815
92	0.8295919554
93	0.8282822669
94	0.8267468262
95	0.8240189575
96	0.8199148555
97	0.8170707856
98	0.8128986084
99	0.8105207752
100	0.8087442174
101	0.8069894308
102	0.8044933308
103	0.8026144962
104	0.8009923606
105	0.7990953386
106	0.7987026089
107	0.7975241807
108	0.794483954
109	0.7924594235
110	0.7908926196
111	0.7896575364
112	0.7883030741
113	0.7868581094
114	0.7845112592
115	0.7819599849
116	0.7804550053
117	0.7787975464
118	0.7771903953
119	0.7752209486
120	0.7737455198
121	0.7722239833
122	0.7701177407
123	0.7695508824
124	0.7682035065
125	0.7661160034
126	0.7653621707
127	0.7643732851
128	0.7638839646
129	0.7619357757
130	0.7597342447
131	0.7586416362
132	0.7576617443
133	0.7559831539
134	0.75479077
135	0.7533081453
136	0.7522860455
137	0.75095575
138	0.7504020656
139	0.7481206029
140	0.746366251
141	0.743300419
142	0.7423363085
143	0.7401465542
144	0.7377833862
145	0.7366045278
146	0.7355709878
147	0.7339918636
148	0.7320573079
149	0.7312437599
150	0.7287278765
151	0.7269648321
152	0.7259364671
153	0.7240604674
154	0.7225141073
155	0.7212022688
156	0.7209800139
157	0.7207359677
158	0.7198811944
159	0.7182775924
160	0.7170500746
161	0.7160134417
162	0.7144664699
163	0.7138318839
164	0.7127745434
165	0.7111869335
166	0.7101613069
167	0.7080170683
168	0.7053296042
169	0.7036099256
170	0.7018914017
171	0.7010204516
172	0.6991515774
173	0.6984199796
174	0.6960085039
175	0.6942628149
176	0.6927120845
177	0.691265748
178	0.6901229758
179	0.6891797943
180	0.6876446344
181	0.6866044454
182	0.6852451113
183	0.6841721095
184	0.6832478067
