iter	Passed	Remaining
0	145	144876
1	149	74389
2	153	51145
3	156	39089
4	160	32029
5	164	27296
6	168	23916
7	172	21428
8	177	19523
9	181	17955
10	185	16663
11	189	15579
12	193	14663
13	196	13869
14	201	13259
15	206	12672
16	209	12139
17	212	11610
18	216	11192
19	220	10816
20	225	10510
21	229	10202
22	234	9949
23	238	9710
24	243	9490
25	248	9319
26	253	9136
27	258	8957
28	262	8798
29	267	8642
30	272	8506
31	277	8382
32	281	8255
33	286	8137
34	290	8022
35	297	7967
36	302	7868
37	306	7771
38	311	7682
39	316	7591
40	321	7511
41	327	7472
42	333	7431
43	339	7382
44	345	7342
45	350	7272
46	356	7237
47	361	7178
48	367	7135
49	371	7065
50	376	6999
51	380	6930
52	384	6866
53	388	6810
54	393	6759
55	397	6707
56	401	6649
57	405	6593
58	408	6518
59	414	6494
60	418	6445
61	422	6397
62	427	6358
63	431	6309
64	436	6277
65	440	6238
66	445	6200
67	449	6160
68	453	6121
69	458	6093
70	464	6073
71	469	6051
72	476	6048
73	484	6059
74	489	6036
75	494	6008
76	498	5975
77	502	5945
78	508	5925
79	512	5898
80	517	5867
81	521	5839
82	525	5808
83	531	5791
84	535	5763
85	539	5734
86	544	5709
87	548	5684
88	553	5664
89	557	5639
90	562	5620
91	567	5596
92	571	5573
93	575	5548
94	581	5537
95	585	5515
96	590	5496
97	594	5473
98	598	5449
99	604	5438
100	608	5419
101	613	5397
102	617	5373
103	622	5359
104	628	5359
105	637	5378
106	641	5356
107	646	5336
108	651	5327
109	655	5307
110	660	5290
111	664	5270
112	669	5252
113	674	5245
114	679	5228
115	683	5211
116	688	5193
117	692	5174
118	698	5169
119	702	5151
120	706	5134
121	711	5121
122	716	5107
123	722	5107
124	728	5097
125	731	5075
126	736	5062
127	741	5048
128	747	5045
129	752	5033
130	757	5024
131	762	5011
132	768	5011
133	775	5009
134	782	5015
135	788	5008
136	794	5006
137	800	4998
138	804	4985
139	809	4974
140	816	4973
141	820	4956
142	825	4944
143	829	4932
144	838	4946
145	844	4941
146	849	4929
147	854	4916
148	858	4901
149	863	4893
150	867	4879
151	872	4867
152	877	4857
153	882	4846
154	888	4846
155	893	4831
156	898	4824
157	903	4816
158	910	4817
159	916	4809
160	921	4801
161	972	5028
162	983	5052
163	991	5055
164	999	5059
165	1022	5135
166	1033	5154
167	1041	5157
168	1049	5159
169	1086	5306
170	1094	5308
171	1105	5323
172	1113	5323
173	1159	5501
174	1165	5496
175	1170	5481
176	1188	5527
177	1202	5551
178	1219	5591
179	1230	5606
180	1237	5598
181	1244	5592
182	1254	5599
183	1261	5596
184	1267	5585
185	1274	5576
186	1279	5561
187	1284	5546
188	1289	5531
189	1294	5517
190	1301	5510
191	1305	5495
192	1310	5480
193	1315	5465
194	1323	5462
195	1330	5456
196	1335	5445
197	1340	5431
198	1348	5426
199	1354	5418
200	1359	5403
201	1363	5387
202	1369	5377
203	1374	5361
204	1378	5345
205	1382	5329
206	1387	5313
207	1392	5301
208	1396	5286
209	1402	5275
210	1408	5267
211	1412	5250
212	1418	5240
213	1422	5225
214	1427	5210
215	1431	5195
216	1435	5179
217	1441	5170
218	1446	5156
219	1450	5141
220	1454	5127
221	1458	5112
222	1464	5103
223	1469	5089
224	1473	5074
225	1477	5060
226	1481	5046
227	1487	5035
228	1491	5022
229	1496	5008
230	1500	4995
231	1504	4981
232	1510	4970
233	1514	4957
234	1518	4944
235	1523	4930
236	1527	4917
237	1532	4906
238	1538	4897
239	1543	4887
240	1549	4879
241	1553	4866
242	1559	4857
243	1562	4840
244	1566	4828
245	1571	4815
246	1575	4802
247	1580	4792
248	1585	4780
249	1588	4764
250	1592	4752
251	1598	4743
252	1603	4733
253	1607	4721
254	1612	4710
255	1616	4697
256	1620	4686
257	1625	4674
258	1631	4666
259	1635	4654
260	1639	4643
261	1644	4631
262	1648	4619
263	1654	4611
264	1658	4600
265	1662	4588
266	1667	4576
267	1671	4565
268	1677	4558
269	1681	4547
270	1687	4538
271	1693	4531
272	1699	4525
273	1704	4515
274	1709	4506
275	1714	4496
276	1719	4487
277	1726	4483
278	1731	4474
279	1736	4465
280	1741	4455
281	1748	4451
282	1753	4442
283	1758	4433
284	1763	4423
285	1768	4414
286	1774	4408
287	1778	4395
288	1782	4386
289	1787	4377
290	1796	4377
291	1802	4370
292	1807	4361
293	1812	4351
294	1819	4348
295	1824	4339
296	1829	4330
297	1836	4325
298	1847	4330
299	1851	4320
300	1855	4307
301	1859	4297
302	1864	4289
303	1868	4278
304	1873	4268
305	1876	4254
306	1880	4244
307	1884	4234
308	1890	4227
309	1894	4217
310	1899	4207
311	1903	4197
312	1908	4188
313	1914	4182
314	1919	4174
315	1924	4165
316	1928	4155
317	1932	4145
318	1938	4138
319	1942	4128
320	1947	4118
321	1951	4109
322	1955	4099
323	1961	4092
324	1965	4082
325	1970	4073
326	1974	4063
327	1978	4053
328	1985	4049
329	1991	4043
330	1996	4034
331	2000	4025
332	2005	4017
333	2010	4008
334	2014	3999
335	2018	3989
336	2023	3980
337	2028	3972
338	2033	3964
339	2037	3954
340	2041	3946
341	2046	3936
342	2050	3927
343	2056	3920
344	2060	3911
345	2064	3902
346	2068	3893
347	2073	3885
348	2079	3878
349	2083	3869
350	2088	3860
351	2092	3851
352	2096	3842
353	2102	3836
354	2107	3828
355	2112	3821
356	2117	3813
357	2122	3805
358	2127	3797
359	2131	3789
360	2137	3783
361	2143	3778
362	2150	3773
363	2154	3765
364	2159	3756
365	2163	3747
366	2167	3739
367	2173	3732
368	2178	3724
369	2183	3717
370	2188	3709
371	2194	3704
372	2201	3700
373	2206	3693
374	2211	3686
375	2218	3682
376	2223	3675
377	2228	3667
378	2234	3660
379	2239	3653
380	2245	3647
381	2250	3640
382	2255	3634
383	2260	3626
384	2270	3627
385	2277	3622
386	2284	3618
387	2294	3619
388	2300	3612
389	2305	3606
390	2312	3602
391	2317	3595
392	2322	3587
393	2327	3579
394	2331	3571
395	2337	3565
396	2342	3557
397	2346	3549
398	2351	3541
399	2355	3533
400	2361	3528
401	2366	3520
402	2371	3512
403	2375	3504
404	2380	3496
405	2386	3491
406	2391	3483
407	2395	3476
408	2400	3468
409	2404	3460
410	2410	3454
411	2415	3446
